Station,Station alias,	Date established,	Date closed,Declared reporting status,Assessed reporting status,Station type,WIGOS Station Identifier(s),WMO Region,Regional WIGOS Center,Country,Latitude,Longitude,Elevation,Geopositioning method,Time zone,Supervising organization,Station URL,Other link (URL),Site description,Climate zone,Predominant surface cover,Surface roughness,Topography or bathymetry,Population in 10km/50km,Programs/Network affiliation,	Last updated date,Last updated by
Sigor Agricultural Office,,	2021-12-21,,Operational,Unknown,Land (fixed),0-404-300-241300650AS00063|primary,Africa,EAC (Kenya & Tanzania),Kenya,1.4837,35.4701,978,,,,,,,,,,,,Non-affiliated:Operational,	2023-07-12,JAMES KAIGUA
Siret Secondary School,,	2021-11-01,,Operational,Unknown,Land (fixed),0-404-300-351890942AS00020|primary,Africa,EAC (Kenya & Tanzania),Kenya,-0.2118,35.4096,1976,,,,,,,,,,,,Non-affiliated:Operational,	2023-06-21,KEN NMHS
Sololo AWS/Dr Guracha Memorial Girls,,	2021-12-15,,Operational,Unknown,Land (fixed),0-404-300-100450222AS00116|primary,Africa,EAC (Kenya & Tanzania),Kenya,3.5433,38.644,710,,,,,,,,,,,,Non-affiliated:Operational,	2023-08-01,JAMES KAIGUA
South Eastern University of Kenya,,	2021-10-01,,Unknown,Unknown,Land (fixed),0-404-300-150710352AS00119|primary,Africa,EAC (Kenya & Tanzania),Kenya,-1.3084,37.7557,1229,,,,,,,,,,,,Non-affiliated,	2023-06-27,Anne Kamau
St Catherine Chepnyal,,	2021-11-22,,Operational,Unknown,Land (fixed),0-404-300-241290646AS00059|primary,Africa,EAC (Kenya & Tanzania),Kenya,1.6051,35.2898,1987,,,,,,,,,,,,Non-affiliated:Operational,	2023-07-18,ANNE WANYOIKE
St Paul’s Amukura Boys,,	2021-11-13,,Operational,Unknown,Land (fixed),0-404-300-402261131AS00035|primary,Africa,EAC (Kenya & Tanzania),Kenya,0.5695,34.2735,1291,,,,,,,,,,,,Non-affiliated:Operational,	2023-07-18,ANNE WANYOIKE
St Paul’s Elwanikha Girls Sec Sch,,	2021-11-16,,Operational,Unknown,Land (fixed),0-404-300-402271135AS00037|primary,Africa,EAC (Kenya & Tanzania),Kenya,0.4798,34.3615,1241,,,,,,,,,,,,Non-affiliated:Operational,	2023-07-14,JAMES KAIGUA
Survey Secondary School station,,	2021-10-12,,Operational,Unknown,Land (fixed),0-404-300-311630822AS00079|primary,Africa,EAC (Kenya & Tanzania),Kenya,0.5785,36.5613,1904,,,,,,,,,,,,Non-affiliated:Operational,	2023-07-10,ANNE WANYOIKE
Tharaka University College(Agromet),,	2021-12-17,,Operational,Unknown,Land (fixed),0-404-300-130620310AS00091|primary,Africa,EAC (Kenya & Tanzania),Kenya,0.092,37.988,659,,,,,,,,,,,,Non-affiliated:Operational,	2023-08-01,JAMES KAIGUA
Thuchi Barrier,,	2021-12-13,,Operational,Unknown,Land (fixed),0-404-300-130610305AS00092|primary,Africa,EAC (Kenya & Tanzania),Kenya,-0.39,37.86,744,,,,,,,,,,,,Non-affiliated:Operational,	2023-08-01,JAMES KAIGUA
Tigithi Boys High School station,,	2021-07-12,,Operational,Unknown,Land (fixed),0-404-300-311640818AS00082|primary,Africa,EAC (Kenya & Tanzania),Kenya,-0.0566,36.9465,1838,,,,,,,,,,,,Non-affiliated:Operational,	2023-07-10,ANNE WANYOIKE
Timboroa Forest Station,,	2021-11-20,,Operational,Unknown,Land (fixed),0-404-300-271460730AS00052|primary,Africa,EAC (Kenya & Tanzania),Kenya,0.0685,35.5399,2734,,,,,,,,,,,,Non-affiliated:Operational,	2023-07-11,JAMES KAIGUA
Turbo Girls High School,,	2021-11-17,,Operational,Unknown,Land (fixed),0-404-300-271460730AS00048|primary,Africa,EAC (Kenya & Tanzania),Kenya,0.6214,35.0466,1837,,,,,,,,,,,,Non-affiliated:Operational,	2023-07-13,JAMES KAIGUA
University of Eldoret (Agromet),,	2021-11-19,,Operational,Unknown,Land (fixed),0-404-300-271430718AS00053|primary,Africa,EAC (Kenya & Tanzania),Kenya,0.5802,35.2998,2147,,,,,,,,,,,,Non-affiliated:Operational,	2023-07-11,JAMES KAIGUA
Usenge High School,,	2021-10-11,,Operational,Unknown,Land (fixed),0-404-300-412361175AS00040|primary,Africa,EAC (Kenya & Tanzania),Kenya,-0.0719,34.0512,1151,,,,,,,,,,,,Non-affiliated:Operational,	2023-07-13,JAMES KAIGUA
VOI,,	1963-01-01,,Operational,Operational,Land (fixed),0-20000-0-63793|primary,Africa,EAC (Kenya & Tanzania),Kenya,-3.381328,38.575207,574,GPS,UTC+3,Kenyan Meteorological Department,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: EVAP{023};RBSN(S);SUNDUR;TOTRA{021} (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Steppe - Hot arid,Mosaic vegetation (grassland/shrubland/forest) (50-70%) / cropland (20-50%) (Surface cover types (GlobCover2009)),,(unknown) at low relative elevation within rises of middle altitude,,"GBON:Operational, GOS General:Operational",	2024-01-15,Anne Kamau
WAJIR,,	1917-01-01,,Operational,Partly operational,Land (fixed),0-20000-0-63671|primary,Africa,EAC (Kenya & Tanzania),Kenya,1.747461,40.059111,257,GPS,UTC+3,Kenyan Meteorological Department,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: EVAP{023};RBSN(S);SUNDUR;TOTRA{021} (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Desert - Hot arid,Sparse (<15%) vegetation(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within hollows of low altitude,,"GBON, GOS General:Operational",	2024-07-24,Anne Kamau
WILSON,Wilson Airport Meteorological Station,	1951-01-01,,Operational,Operational,Land (fixed),0-20000-0-63742|primary,Africa,EAC (Kenya & Tanzania),Kenya,-1.320572,36.815446,1675.51,GPS,UTC+3,Kenyan Meteorological Department,,,The station was originally registered based on WMO Pub 9 Vol A information containing these observation remarks: A;SPECI (see code table A for explanations). These remarks imply the following additional observations that could not be registered automatically: none.,Warm Temperate - Fully humid - Warm summer,Artificial surfaces and associated areas (Urban areas >50%)(Surface cover types (GlobCover2009)),,(unknown) at middle relative elevation within hills of high altitude,,"GBON, GOS General:Operational",	2024-01-11,Anne Kamau
Waldena Health Centre,,	2022-01-23,,Operational,Unknown,Land (fixed),0-404-300-040190095AS00111|primary,Africa,EAC (Kenya & Tanzania),Kenya,-1.6111,39.025,294,,,,,,,,,,,,Non-affiliated:Operational,	2023-08-01,JAMES KAIGUA
Wanjohi Girls High Sch,,	2021-03-12,,Operational,Unknown,Land (fixed),0-404-300-180900449AS00067|primary,Africa,EAC (Kenya & Tanzania),Kenya,-0.3096,36.4903,2378,,,,,,,,,,,,Non-affiliated:Operational,	2023-07-10,ANNE WANYOIKE
1901045,,	2009-06-23,	2014-04-07,Closed,Unknown,Underwater (mobile),0-22000-0-1901045|primary,,EAC (Kenya & Tanzania),Kenya,3.596,55.34,0,(unknown),,,https://www.ocean-ops.org/board/wa/Platform?ref=1901045,,Notification far in advance of future deployments by Kenya. Float will be donated by UW. Real Ids and deployment date will be updated in the future.,,,,,,ARGO KENYA:Closed,	2021-04-29,OceanOPS DC
1901046,,	2009-06-23,	2014-09-07,Closed,Unknown,Underwater (mobile),0-22000-0-1901046|primary,,EAC (Kenya & Tanzania),Kenya,5.97,49.433,0,(unknown),,,https://www.ocean-ops.org/board/wa/Platform?ref=1901046,,,,,,,,ARGO KENYA:Closed,	2021-04-29,OceanOPS DC
1901047,,	2009-06-25,	2009-06-25,Operational,Unknown,Underwater (mobile),0-22000-0-1901047|primary,,EAC (Kenya & Tanzania),Kenya,-3.474,54.023,0,(unknown),,,https://www.ocean-ops.org/board/wa/Platform?ref=1901047,,,,,,,,ARGO KENYA:Operational,	2021-04-29,OceanOPS DC
1901048,,	2009-06-24,	2011-11-16,Closed,Unknown,Underwater (mobile),0-22000-0-1901048|primary,,EAC (Kenya & Tanzania),Kenya,-7.107,57.804,0,(unknown),,,https://www.ocean-ops.org/board/wa/Platform?ref=1901048,,,,,,,,ARGO KENYA:Closed,	2021-04-30,OceanOPS DC
1901049,,	2022-11-09,,Silent,Unknown,Underwater (mobile),0-22000-0-1901049|primary,,EAC (Kenya & Tanzania),Kenya,-6.403,58.243,0,(unknown),,Kenya Meteorological Department,https://www.ocean-ops.org/board/wa/Platform?ref=1901049,,,,,,,,ARGO KENYA:Non-reporting,	2022-11-09,OceanOPS DC
